=== batch 13a ===
  OK: asn1.h :: d2i_ASN1_UINTEGER
  OK: asn1.h.in :: d2i_ASN1_UINTEGER
  OK: asn1.h :: ASN1_UTCTIME_cmp_time_t
  OK: asn1.h.in :: ASN1_UTCTIME_cmp_time_t
  OK: asn1.h :: ASN1_get_object
  OK: asn1.h.in :: ASN1_get_object
  OK: asn1.h :: ASN1_d2i_fp
  OK: asn1.h.in :: ASN1_d2i_fp
  OK: asn1.h :: ASN1_item_i2d_mem_bio
  OK: asn1.h.in :: ASN1_item_i2d_mem_bio
  OK: asn1.h :: ASN1_STRING_get_default_mask
  OK: asn1.h.in :: ASN1_STRING_get_default_mask
  OK: asn1.h :: ASN1_STRING_TABLE_get
  OK: asn1.h.in :: ASN1_STRING_TABLE_get
  OK: async.h :: ASYNC_init_thread
  OK: bio.h :: BIO_set_flags
  OK: bio.h.in :: BIO_set_flags
  OK: bio.h :: stack_st_BIO
  MISS: bio.h.in :: stack_st_BIO
  OK: bio.h :: BIO_s_connect
  OK: bio.h.in :: BIO_s_connect
  OK: bio.h :: BIO_ADDR_free
  OK: bio.h.in :: BIO_ADDR_free
  OK: bio.h :: BIO_ADDRINFO_family
  OK: bio.h.in :: BIO_ADDRINFO_family
  OK: bio.h :: BIO_get_accept_socket
  OK: bio.h.in :: BIO_get_accept_socket
  OK: blowfish.h :: BF_cbc_encrypt
  OK: bn.h :: BN_CTX_free
  OK: bn.h :: BN_free
  OK: bn.h :: BN_GF2m_mod_div
  OK: cms.h :: SMIME_write_CMS
  OK: cms.h.in :: SMIME_write_CMS
  OK: cms.h :: CMS_RecipientInfo_kekri_get0_id
  OK: cms.h.in :: CMS_RecipientInfo_kekri_get0_id
  OK: cms.h :: CMS_RecipientInfo_set0_key
  OK: cms.h.in :: CMS_RecipientInfo_set0_key
  OK: cms.h :: CMS_signed_get_attr_count
  OK: cms.h.in :: CMS_signed_get_attr_count
  OK: cms.h :: CMS_signed_add1_attr_by_NID
  OK: cms.h.in :: CMS_signed_add1_attr_by_NID
  OK: comp.h :: COMP_zstd_oneshot
  OK: conf.h :: stack_st_CONF_MODULE
  OK: conf.h.in :: stack_st_CONF_MODULE
  OK: conf.h :: NCONF_new_ex
  OK: conf.h.in :: NCONF_new_ex
  OK: conf.h :: CONF_imodule_set_usr_data
  OK: conf.h.in :: CONF_imodule_set_usr_data
  OK: conftypes.h :: conf_method_st.create
  OK: crypto.h :: CRYPTO_secure_malloc_initialized
  OK: crypto.h.in :: CRYPTO_secure_malloc_initialized
  OK: crypto.h :: OPENSSL_cleanse
  OK: crypto.h.in :: OPENSSL_cleanse
  OK: dh.h :: EVP_PKEY_CTX_set_dh_pad
  OK: dh.h :: DH_check_params_ex
  OK: dh.h :: DH_get0_pub_key
  OK: dh.h :: DH_meth_get_generate_key
  OK: dh.h :: DH_meth_get_bn_mod_exp
  OK: dh.h :: DH_meth_set_generate_params
  OK: dh.h :: DH_generate_parameters

OK=59 MISS=1
  bio.h.in:stack_st_BIO
