=== batch 13b ===
  OK: dsa.h :: EVP_PKEY_CTX_set_dsa_paramgen_gindex
  OK: dsa.h :: DSA_SIG_free
  OK: dsa.h :: DSA_SIG_set0
  OK: dsa.h :: DSA_new_method
  OK: dsa.h :: DSA_security_bits
  OK: dsa.h :: DSA_sign
  OK: dsa.h :: DSA_get_ex_data
  OK: dsa.h :: DSA_generate_parameters
  OK: dsa.h :: DSAparams_print
  OK: dsa.h :: DSA_print_fp
  OK: dsa.h :: DSA_set0_key
  OK: dsa.h :: DSA_get0_q
  OK: dsa.h :: DSA_get0_pub_key
  OK: dsa.h :: DSA_meth_set0_app_data
  OK: dsa.h :: DSA_meth_get_bn_mod_exp
  OK: dsa.h :: DSA_meth_set_keygen
  OK: ec.h :: EVP_PKEY_CTX_get_ecdh_kdf_type
  OK: ec.h :: ECPKPARAMETERS
  OK: ec.h :: EC_GROUP_set_asn1_flag
  OK: ec.h :: EC_KEY_get_ex_data
  OK: ec.h :: EC_KEY_set_default_method
  OK: engine.h :: ENGINE_unregister_RAND
  OK: engine.h :: ENGINE_get_RAND
  OK: engine.h :: ENGINE_set_default_ciphers
  OK: err.h :: err_state_st.err_data_size
  OK: err.h.in :: err_state_st.err_data_size
  OK: err.h :: ERR_get_error
  OK: err.h.in :: ERR_get_error
  OK: err.h :: ERR_lib_error_string
  OK: err.h.in :: ERR_lib_error_string
  OK: err.h :: ERR_get_next_error_library
  OK: err.h.in :: ERR_get_next_error_library
  OK: evp.h :: EVP_MD_up_ref
  OK: evp.h :: EVP_EncryptFinal
  OK: evp.h :: EVP_aes_256_cbc_hmac_sha1
  OK: evp.h :: EVP_aria_192_cbc
  OK: evp.h :: EVP_aria_256_cfb1
  OK: evp.h :: EVP_MAC_gettable_params
  OK: evp.h :: EVP_RAND_CTX_new
  OK: evp.h :: EVP_PKEY_set1_engine
  OK: evp.h :: EVP_KEYMGMT_settable_params
  OK: evp.h :: EVP_PKEY_CTX_is_a
  OK: evp.h :: EVP_PKEY_new_raw_private_key
  OK: evp.h :: EVP_SIGNATURE_free
  OK: evp.h :: EVP_ASYM_CIPHER_get0_provider
  OK: evp.h :: EVP_ASYM_CIPHER_fetch
  OK: evp.h :: EVP_KEM_settable_ctx_params
  OK: evp.h :: EVP_PKEY_verify_recover_init
  OK: evp.h :: EVP_PKEY_decrypt
  OK: evp.h :: EVP_PKEY_auth_encapsulate_init
  OK: evp.h :: EVP_PKEY_set_utf8_string_param
  OK: evp.h :: EVP_PKEY_generate
  OK: evp.h :: EVP_PKEY_meth_set_signctx
  OK: evp.h :: EVP_PKEY_meth_get_digest_custom
  OK: evp.h :: EVP_PKEY_CTX_get_group_name

OK=55 MISS=0
