=== batch 14d ===
  OK: pkcs7.h :: PKCS7_SIGNER_INFO_set
  OK: pkcs7.h.in :: PKCS7_SIGNER_INFO_set
  OK: rand.h :: RAND_keep_random_devices_open
  OK: rand.h :: RAND_load_file
  OK: rsa.h :: EVP_PKEY_CTX_set_rsa_pss_saltlen
  OK: rsa.h :: RSA_new_method
  OK: rsa.h :: RSA_security_bits
  OK: rsa.h :: RSA_get_multi_prime_extra_count
  OK: rsa.h :: RSA_generate_key
  OK: rsa.h :: RSA_X931_generate_key_ex
  OK: sha.h :: SHA_CTX::h0..h4
  OK: sha.h :: SHA_CTX::num
  OK: sha.h :: SHA1_Transform
  OK: sha.h :: SHA256_CTX::num,md_len
  OK: sha.h :: SHA256_Init
  OK: sha.h :: SHA224
  OK: sha.h :: SHA512_CTX::u
  OK: sha.h :: SHA384_Final
  OK: sha.h :: SHA384
  OK: ssl.h :: SRTP_PROTECTION_PROFILE::id
  OK: ssl.h.in :: SRTP_PROTECTION_PROFILE::id
  OK: ssl.h :: SSL_SRP_CTX_init
  OK: ssl.h.in :: SSL_SRP_CTX_init
  OK: ssl.h :: SSL_CTX_set_timeout
  OK: ssl.h.in :: SSL_CTX_set_timeout
  OK: ssl.h :: SSL_CIPHER_get_id
  OK: ssl.h.in :: SSL_CIPHER_get_id
  OK: ssl.h :: SSL_set_read_ahead
  OK: ssl.h.in :: SSL_set_read_ahead
  OK: ssl.h :: SSL_peek
  OK: ssl.h.in :: SSL_peek
  OK: ssl.h :: TLSv1_1_client_method
  OK: ssl.h.in :: TLSv1_1_client_method
  OK: ssl.h :: SSL_get_privatekey
  OK: ssl.h.in :: SSL_get_privatekey
  OK: ssl.h :: SSL_get_value_uint
  OK: ssl.h.in :: SSL_get_value_uint
  OK: types.h :: ASN1_GENERALSTRING
  OK: types.h :: ASN1_VISIBLESTRING
  OK: types.h :: ASN1_ITEM
  OK: types.h :: BIGNUM
  OK: types.h :: ERR_STATE
  OK: types.h :: RAND_METHOD
  OK: types.h :: CONF
  OK: types.h :: AUTHORITY_KEYID
  OK: types.h :: OCSP_RESPONSE
  OK: types.h :: OSSL_STORE_SEARCH
  OK: x509.h :: X509_ALGOR_cmp
  OK: x509.h.in :: X509_ALGOR_cmp
  OK: x509.h :: X509_get0_serialNumber
  OK: x509.h.in :: X509_get0_serialNumber
  OK: x509.h :: X509_REQ_add1_attr_by_OBJ
  OK: x509.h.in :: X509_REQ_add1_attr_by_OBJ
  OK: x509.h :: X509_CRL_get_signature_nid
  OK: x509.h.in :: X509_CRL_get_signature_nid
  OK: x509.h :: i2d_re_X509_CRL_tbs
  OK: x509.h.in :: i2d_re_X509_CRL_tbs
  OK: x509.h :: X509_chain_check_suiteb
  OK: x509.h.in :: X509_chain_check_suiteb
  OK: x509.h :: X509_NAME_hash_ex
  OK: x509.h.in :: X509_NAME_hash_ex
  OK: x509.h :: X509_print_fp
  OK: x509.h.in :: X509_print_fp
  OK: x509.h :: X509_CRL_print
  OK: x509.h.in :: X509_CRL_print
  OK: x509.h :: X509_NAME_get_text_by_OBJ
  OK: x509.h.in :: X509_NAME_get_text_by_OBJ
  OK: x509.h :: X509_NAME_delete_entry
  OK: x509.h.in :: X509_NAME_delete_entry
  OK: x509.h :: X509_NAME_add_entry_by_NID
  OK: x509.h.in :: X509_NAME_add_entry_by_NID
  OK: x509.h :: X509_CRL_get_ext_by_critical
  OK: x509.h.in :: X509_CRL_get_ext_by_critical
  OK: x509.h :: X509_EXTENSION_create_by_OBJ
  OK: x509.h.in :: X509_EXTENSION_create_by_OBJ
  OK: x509.h :: X509_ATTRIBUTE_create_by_txt
  OK: x509.h.in :: X509_ATTRIBUTE_create_by_txt
  OK: x509.h :: X509_ATTRIBUTE_set1_object
  OK: x509.h.in :: X509_ATTRIBUTE_set1_object
  OK: x509.h :: X509_PUBKEY_set0_param
  OK: x509.h.in :: X509_PUBKEY_set0_param
  OK: x509_vfy.h :: X509_STORE_CTX_check_policy_fn
  OK: x509_vfy.h.in :: X509_STORE_CTX_check_policy_fn
  OK: x509_vfy.h :: X509_STORE_get_cleanup
  OK: x509_vfy.h.in :: X509_STORE_get_cleanup
  OK: x509_vfy.h :: X509_STORE_CTX_init_rpk
  OK: x509_vfy.h.in :: X509_STORE_CTX_init_rpk
  OK: x509_vfy.h :: X509_LOOKUP_meth_get_new_item
  OK: x509_vfy.h.in :: X509_LOOKUP_meth_get_new_item
  OK: x509_vfy.h :: X509_STORE_CTX_set_ex_data
  OK: x509_vfy.h.in :: X509_STORE_CTX_set_ex_data
  OK: x509_vfy.h :: X509_STORE_CTX_set_flags
  OK: x509_vfy.h.in :: X509_STORE_CTX_set_flags
  OK: x509_vfy.h :: X509_STORE_CTX_get0_policy_tree
  OK: x509_vfy.h.in :: X509_STORE_CTX_get0_policy_tree
  OK: x509v3.h :: PKEY_USAGE_PERIOD::notBefore
  OK: x509v3.h.in :: PKEY_USAGE_PERIOD::notBefore
  OK: x509v3.h :: i2d_USERNOTICE
  OK: x509v3.h.in :: i2d_USERNOTICE
  OK: x509v3.h :: X509V3_add1_i2d
  OK: x509v3.h.in :: X509V3_add1_i2d

OK=101 MISS=0
